IDCode	Time	Type	Location	Replicate	acetyleneb	T0_ngN2O	T1_ngN2O	T2_ngN2O	T3_ngN2O
ECU_TC_001	baseline	W	A	1	+	47.25427834	-63.75196963	75.53242697	41.71757858
ECU_TC_002	baseline	W	A	2	+	37.49572039	-94.56968855	0.513151404	0.677882261
ECU_TC_003	baseline	W	A	3	+	13.76411604	-99.27187249	17.62242422	16.54661735
ECU_TC_004	baseline	W	B	1	+	11.65468717	-105.1922747	17.17029049	19.91700623
ECU_TC_005	baseline	W	B	2	+	10.73197754	-108.3074833	-6.413488652	10.32582321
ECU_TC_006	baseline	W	B	3	+	33.88021863	-94.01433897	19.88010371	24.20074166
ECU_TC_007	baseline	BD	B	1	+	31.05806973	221.8587213	1516.475813	2882.896379
ECU_TC_008	baseline	BD	B	2	+	31.58675097	376.2030007	1838.489531	3771.026308
ECU_TC_009	baseline	BD	B	3	+	33.21423651	322.1231568	2044.111333	3868.414587
ECU_TC_010	baseline	BK	B	1	+	35.60501965	102.3518154	1329.0233	2425.122326
ECU_TC_011	baseline	BK	B	2	+	6.033824523	184.6446323	1908.360485	3484.767398
ECU_TC_012	baseline	BK	B	3	+	4.267846478	284.6623365	3353.814873	4166.991534
ECU_TC_013	baseline	W	C	1	+	12.97552965	-84.75142882	5.587375668	16.7393249
ECU_TC_014	baseline	W	C	2	+	34.93969954	-90.58371827	22.2513042	-19.86831606
ECU_TC_015	baseline	W	C	3	+	34.94857047	-77.42732376	28.11144335	-2.219919779
ECU_TC_016	baseline	BD	C	1	+	31.54623595	290.0564835	1233.553937	2121.953155
ECU_TC_017	baseline	BD	C	2	+	9.881691817	264.70283	1835.148576	3786.734643
ECU_TC_018	baseline	BD	C	3	+		2489.667424	16847.34976	23162.04702
ECU_TC_019	baseline	BK	C	1	+		-941.4955588	498.6507125	1229.579896
ECU_TC_020	baseline	BK	C	2	+	33.87373093	-71.17651645	48.14011237	49.82485911
ECU_TC_021	baseline	BK	C	3	+		-1148.52441	526.3986773	537.7671771
ECU_TC_022	baseline	W	D	1	+	2.321934097	-108.2004447	-4.617430177	-31.49693038
ECU_TC_023	baseline	W	D	2	+	13.79681933	-71.85573652	-3.697134967	-28.76342726
ECU_TC_024	baseline	W	D	3	+	16.98347097	-98.28473006	-4.424594657	-31.6626761
ECU_TC_025	baseline	BD	D	1	+	12.87066725	137.3824582	743.952608	1287.055348
ECU_TC_026	baseline	BD	D	2	+	-57.27389746	-4.14056604	549.9582626	980.0357884
ECU_TC_027	baseline	BD	D	3	+	-113.373224	-14.34044359	410.2541659	681.7882975
ECU_TC_028	baseline	BK	D	1	+	-105.6636046	-128.3654211	16.17824027	78.9363284
ECU_TC_029	baseline	BK	D	2	+	-112.8432212	-87.87370535	163.7730165	465.7447002
ECU_TC_030	baseline	BK	D	3	+	-117.4401587	-95.94627379	231.257743	647.4517291
ECU_TC_001	baseline	W	A	1	-	24.46359456	-16.9130709	-5.233740312	-22.23260855
ECU_TC_002	baseline	W	A	2	-	-7.773647353	-24.46826238	-29.14874232	-24.02785131
ECU_TC_003	baseline	W	A	3	-	-21.84281985	-10.33342889	-10.1819098	-20.18903497
ECU_TC_004	baseline	W	B	1	-	-14.05876318	-33.08215082	-12.00292085	-34.18276433
ECU_TC_005	baseline	W	B	2	-	-16.42022746	-27.2784633	-31.99879927	-18.81731266
ECU_TC_006	baseline	W	B	3	-	-24.53092568	-28.7531357	17.50439758	0.19025355
ECU_TC_007	baseline	BD	B	1	-	-28.57711723	-7.631843403	74.94732753	106.4578056
ECU_TC_008	baseline	BD	B	2	-	-28.31227272	-0.495236343	119.371155	195.8478788
ECU_TC_009	baseline	BD	B	3	-	-30.52352668	2.141386264	134.6357775	254.1828466
ECU_TC_010	baseline	BK	B	1	-	-5.517593825	-24.04574868	29.65561537	164.7098325
ECU_TC_011	baseline	BK	B	2	-	-1.462969415	97.03497762	454.0592835	1055.324078
ECU_TC_012	baseline	BK	B	3	-	-28.99704729	108.0388877	540.7940902	1105.073887
ECU_TC_013	baseline	W	C	1	-	-8.215977203	-22.29373358	-28.18136336	-25.68048422
ECU_TC_014	baseline	W	C	2	-	-13.97575222	-32.42504619	-31.20627604	-2.908974107
ECU_TC_015	baseline	W	C	3	-	-34.61570367	-20.72775607	-33.76636658	-3.720935262
ECU_TC_016	baseline	BD	C	1	-	-8.009240374	-8.50085141	-0.643760509	31.32436176
ECU_TC_017	baseline	BD	C	2	-	-33.96439702	-18.87121421	21.12944368	34.40919572
ECU_TC_018	baseline	BD	C	3	-	-11.75540658	-21.87168077	11.26792668	38.0583672
ECU_TC_019	baseline	BK	C	1	-	-27.52142859	-11.51993001	-17.85699812	-4.722196559
ECU_TC_020	baseline	BK	C	2	-	-10.52038791	-35.2433579	-20.39814833	-31.57888979
ECU_TC_021	baseline	BK	C	3	-	-28.52296246	-15.89057596	-23.63776947	-27.6573679
ECU_TC_022	baseline	W	D	1	-	-28.50267089	-12.66744634	-20.30618316	-36.22783203
ECU_TC_023	baseline	W	D	2	-	-29.67655133	-26.19565615	-21.92585603	-39.28564935
ECU_TC_024	baseline	W	D	3	-		-260.2683135	47.63389582	-7.553377768
ECU_TC_025	baseline	BD	D	1	-	-7.616190048	-7.363102162	-7.989974303	8.468373139
ECU_TC_026	baseline	BD	D	2	-	26.46880603	17.16812028	78.29769797	205.663702
ECU_TC_027	baseline	BD	D	3	-	-3.546957232	-21.24766655	10.25424255	20.91729769
ECU_TC_028	baseline	BK	D	1	-	-31.76788817	-14.68727039	-21.77157558	-29.14188716
ECU_TC_029	baseline	BK	D	2	-	-31.51374394	-32.90318027	-14.91823113	-15.99468839
ECU_TC_030	baseline	BK	D	3	-	-39.28551636	-16.42839701	-8.921538273	-17.23519543
ECU_TC_031	storm	W	A	1	+	-8.14363411	5.019812175	20.76213253	25.53006878
ECU_TC_032	storm	W	A	2	+	-7.047431003	22.3043531	22.96824988	18.90798267
ECU_TC_033	storm	W	A	3	+	-8.764007523	-0.261315357	22.53121905	19.30216229
ECU_TC_034	storm	W	B	1	+	-1.40351264	16.04872957	56.30246896	37.49909026
ECU_TC_035	storm	W	B	2	+	-4.180944136	7.58688474	33.91060487	22.5097492
ECU_TC_036	storm	W	B	3	+	9.570575163	17.71896179	47.30274558	39.27178618
ECU_TC_037	storm	W	C	1	+	1.398991368	3.333664787	16.56401601	16.72196324
ECU_TC_038	storm	W	C	2	+	-9.820341226	5.055379122	28.58344659	23.34422205
ECU_TC_039	storm	W	C	3	+	-0.99509101	10.07076473	30.40271569	26.56032182
ECU_TC_040	storm	W	D	1	+	-8.810864348	13.98497539	26.90821295	24.9453255
ECU_TC_041	storm	W	D	2	+	-1.408033913	46.55948178	49.94885242	65.46634384
ECU_TC_042	storm	W	D	3	+	-2.332291651	22.47870421	29.36622433	41.59437422
ECU_TC_043	storm	W	E	1	+	-5.430870514	41.84161681	46.3868651	44.51402856
ECU_TC_044	storm	W	E	2	+	-6.133448884	-1.115172524	19.09306928	28.67322615
ECU_TC_045	storm	W	E	3	+	6.263469725	16.47346705	33.28069185	35.35533351
ECU_TC_046	storm	W	F	1	+	-6.952347268	2.449198219	22.92311684	25.24219986
ECU_TC_047	storm	W	F	2	+	-6.94672993	29.95971663	27.39692324	14.61661261
ECU_TC_048	storm	W	F	3	+	1.5935431	13.60995865	22.4326087	40.9896785
ECU_TC_031	storm	W	A	1	-	16.40372901	33.94126936	52.16449629	36.49331737
ECU_TC_032	storm	W	A	2	-	-0.563956576	407.120486	89.8763059	102.8345388
ECU_TC_033	storm	W	A	3	-	6.746990503	29.8537572	18.67801297	34.1962632
ECU_TC_034	storm	W	B	1	-	-15.51090722	31.06338428	20.44797625	37.27424358
ECU_TC_035	storm	W	B	2	-	-15.74442254	40.25349448	18.78057349	39.82577541
ECU_TC_036	storm	W	B	3	-	-8.547869071	46.10695875	28.98444398	49.75123659
ECU_TC_037	storm	W	C	1	-	-10.78714705	13.04129275	18.52396621	28.24671013
ECU_TC_038	storm	W	C	2	-	13.64646205	23.05974157	15.91824644	31.37008125
ECU_TC_039	storm	W	C	3	-	-8.313434398	24.21398492	21.04013462	31.36614356
ECU_TC_040	storm	W	D	1	-	5.521100732	24.52747867	17.58070025	27.36773294
ECU_TC_041	storm	W	D	2	-	-12.80617463	23.63869581	15.48626975	31.10588105
ECU_TC_042	storm	W	D	3	-	-10.67918889	40.78766563	27.24578871	36.38623583
ECU_TC_043	storm	W	E	1	-	9.675125543	1.759113735	23.38865023	29.36294027
ECU_TC_044	storm	W	E	2	-	-9.762595287	-1.775017325	11.48297541	27.014963
ECU_TC_045	storm	W	E	3	-	-11.3835436	69.73117744	24.16980586	40.48043209
ECU_TC_046	storm	W	F	1	-	-11.12914586	36.61762732	27.41821452	34.35199102
ECU_TC_047	storm	W	F	2	-	-17.01207714	14.85587179	9.383264454	24.90764045
ECU_TC_048	storm	W	F	3	-	-17.5047183	10.44633221	10.98594008	21.29567267
