IDCode	Time	Type	Location	Replicate	acetyleneb	T0_ppmv	T1_ppmv	T2_ppmv	T3_ppmv
ECU_TC_001	baseline	W	A	1	+	0.4726	-0.7235	0.8010	0.3172
ECU_TC_002	baseline	W	A	2	+	0.3750	-1.0140	0.1213	0.1009
ECU_TC_003	baseline	W	A	3	+	0.1377	-1.0178	0.3363	0.2644
ECU_TC_004	baseline	W	B	1	+	0.1166	-1.0732	0.3457	0.3103
ECU_TC_005	baseline	W	B	2	+	0.1073	-1.1027	0.1168	0.2630
ECU_TC_006	baseline	W	B	3	+	0.3388	-1.0018	0.3194	0.3045
ECU_TC_007	baseline	BD	B	1	+	0.3106	2.1623	14.7166	25.7065
ECU_TC_008	baseline	BD	B	2	+	0.3159	3.7050	17.6557	33.7728
ECU_TC_009	baseline	BD	B	3	+	0.3322	3.1612	19.8080	34.4514
ECU_TC_010	baseline	BK	B	1	+	0.3561	0.9589	13.0525	21.6414
ECU_TC_011	baseline	BK	B	2	+	0.0603	1.8357	18.7408	31.0990
ECU_TC_012	baseline	BK	B	3	+	0.0427	2.8391	33.0175	35.1469
ECU_TC_013	baseline	W	C	1	+	0.1298	-0.8712	0.1907	0.2675
ECU_TC_014	baseline	W	C	2	+	0.3494	-0.9695	0.3353	-0.1469
ECU_TC_015	baseline	W	C	3	+	0.3495	-0.8379	0.3699	-0.0007
ECU_TC_016	baseline	BD	C	1	+	0.3155	2.8435	11.7624	18.5087
ECU_TC_017	baseline	BD	C	2	+	0.0988	2.6293	17.8573	34.1283
ECU_TC_018	baseline	BD	C	3	+		2.4897	16.8473	23.1620
ECU_TC_019	baseline	BK	C	1	+		-0.9415	0.4987	1.2296
ECU_TC_020	baseline	BK	C	2	+	0.3388	-0.7734	0.5605	0.4754
ECU_TC_021	baseline	BK	C	3	+		-1.1485	0.5264	0.5378
ECU_TC_022	baseline	W	D	1	+	0.0232	-1.0863	0.1471	-0.1485
ECU_TC_023	baseline	W	D	2	+	0.1380	-0.7437	0.0732	-0.1908
ECU_TC_024	baseline	W	D	3	+	0.1699	-1.0138	0.1092	-0.1831
ECU_TC_025	baseline	BD	D	1	+	0.1287	1.3506	7.1713	11.2990
ECU_TC_026	baseline	BD	D	2	+	-0.5728	0.0627	5.5929	8.8772
ECU_TC_027	baseline	BD	D	3	+	-1.1338	0.0627	4.2977	6.2319
ECU_TC_028	baseline	BK	D	1	+	-1.0567	-1.0916	0.5524	1.0796
ECU_TC_029	baseline	BK	D	2	+	-1.1285	-0.6736	1.9656	4.6282
ECU_TC_030	baseline	BK	D	3	+	-1.1745	-0.7460	2.6620	6.3404
ECU_TC_001	baseline	W	A	1	-	0.2447	-0.2136	-0.0580	-0.2174
ECU_TC_002	baseline	W	A	2	-	-0.0777	-0.2306	-0.2355	-0.1414
ECU_TC_003	baseline	W	A	3	-	-0.2185	-0.0636	-0.0505	-0.1414
ECU_TC_004	baseline	W	B	1	-	-0.1406	-0.3053	-0.0390	-0.2537
ECU_TC_005	baseline	W	B	2	-	-0.1642	-0.2430	-0.2460	-0.0694
ECU_TC_006	baseline	W	B	3	-	-0.2453	-0.2430	0.2638	0.0427
ECU_TC_007	baseline	BD	B	1	-	-0.2858	-0.0244	0.8059	0.9745
ECU_TC_008	baseline	BD	B	2	-	-0.2832	0.0465	1.2369	1.7768
ECU_TC_009	baseline	BD	B	3	-	-0.3053	0.0769	1.3880	2.3312
ECU_TC_010	baseline	BK	B	1	-	-0.0552	-0.2304	0.3485	1.6358
ECU_TC_011	baseline	BK	B	2	-	-0.0146	0.9731	4.3668	9.5861
ECU_TC_012	baseline	BK	B	3	-	-0.2900	1.1332	5.2552	9.9430
ECU_TC_013	baseline	W	C	1	-	-0.0822	-0.2080	-0.2291	-0.1624
ECU_TC_014	baseline	W	C	2	-	-0.1398	-0.2989	-0.2323	0.0929
ECU_TC_015	baseline	W	C	3	-	-0.3462	-0.1444	-0.2485	0.0972
ECU_TC_016	baseline	BD	C	1	-	-0.0801	-0.0705	0.0209	0.3368
ECU_TC_017	baseline	BD	C	2	-	-0.3397	-0.1270	0.2962	0.3751
ECU_TC_018	baseline	BD	C	3	-	-0.1176	-0.1974	0.1700	0.4070
ECU_TC_019	baseline	BK	C	1	-	-0.2752	-0.0652	-0.1167	0.0359
ECU_TC_020	baseline	BK	C	2	-	-0.1052	-0.3333	-0.1243	-0.2135
ECU_TC_021	baseline	BK	C	3	-	-0.2853	-0.1071	-0.1651	-0.1753
ECU_TC_022	baseline	W	D	1	-	-0.2851	-0.0749	-0.1376	-0.2718
ECU_TC_023	baseline	W	D	2	-	-0.2968	-0.2080	-0.1275	-0.2779
ECU_TC_024	baseline	W	D	3	-		-0.2603	0.0476	-0.0076
ECU_TC_025	baseline	BD	D	1	-	-0.0762	-0.0598	-0.0552	0.1194
ECU_TC_026	baseline	BD	D	2	-	0.2647	0.1236	0.7125	1.8567
